name,lon,lat,x,y,n_osm_objects
Ben Thanh station,106.6974825,10.7708285,685606.7085643931,1191153.9557563171,1
Opera House station,106.7022416,10.775547,686124.3235256512,1191678.7773067162,1
Ba Son station,106.7083868,10.7819749,686792.4642303004,1192393.5400461254,1
Van Thanh Park station,106.7153661,10.7959801,687547.0987839412,1193946.997961911,1
Tan Cang station,106.7232676,10.7985968,688409.6099654373,1194241.3051037954,1
Thao Dien station,106.7335043,10.8004701,689527.9603878207,1194454.8521443468,1
An Phu station,106.7424501,10.802193,690505.2200859999,1194650.9968408244,1
Rach Chiec station,106.7553141,10.8087019,691907.9383108446,1195379.0468436459,1
Phuoc Long station,106.7580541,10.8211662,692199.6488546903,1196759.5445203828,1
Binh Thai station,106.7637882,10.8326789,692819.34912429,1198036.6787550421,1
Thu Duc station,106.7716203,10.8462055,693667.1145253051,1199537.9424751545,1
High Tech Park station,106.7887776,10.8591,695534.8684600265,1200975.3024787176,1
Suoi Tien station,106.800932,10.8661872,696859.2527078795,1201767.1387446907,1
East Bus Station,106.8142076,10.8796893,698301.9317988446,1203269.3960100827,1
