id,lon,lat,name,highway,public_transport,amenity,railway,route,bus,train,subway,station,x,y
11868700611,106.721597,10.7731932,Khu đô thị Sala,bus_stop,platform,,,,yes,,,,688242.7130643289,1191430.2394088025
11868700612,106.7178287,10.7718399,Trung tâm Quản lý Điều hành Giao thông Đô thị,bus_stop,platform,,,,yes,,,,687831.4032975605,1191278.230587633
11868700613,106.6994332,10.7662108,Chợ Dân Sinh,bus_stop,platform,,,,yes,,,,685822.8927562854,1190644.3540981805
11868700614,106.70154,10.7687202,Sở Giao dịch Chứng khoán,bus_stop,platform,,,,yes,,,,686051.7816746759,1190923.2079606769
11868700617,106.7176945,10.7710461,Trung tâm Quản lý Điều hành Giao thông Đô thị,bus_stop,platform,,,,yes,,,,687817.2175599299,1191190.3418382304
11868700618,106.7234936,10.7733,Khu đô thị Sala,bus_stop,platform,,,,yes,,,,688450.0830471771,1191443.2192391318
11868700619,106.7364027,10.7799196,Chung cư NEWCITY,bus_stop,platform,,,,yes,,,,689857.841356169,1192183.4267549922
11868700620,106.7468431,10.7770153,Diamond Island,bus_stop,platform,,,,yes,,,,691001.5547001798,1191868.6558405259
11868700621,106.7516356,10.7765879,Tòa nhà One Verandah,bus_stop,platform,,,,yes,,,,691525.994437615,1191824.3713060075
11868700622,106.7515529,10.7897134,Đường Đồng Văn Cống,bus_stop,platform,,,,yes,,,,691508.6424815404,1193276.22692541
11868700623,106.7875685,10.8072454,Vòng xoay Liên Phường,bus_stop,platform,,,,yes,,,,695436.3061130355,1195238.3881385105
11868700624,106.7933986,10.8217469,Công ty Transimex,bus_stop,platform,,,,yes,,,,696064.4859737742,1196846.2790387839
11868700625,106.7974116,10.8246482,Công ty NEWHANAM,bus_stop,platform,,,,yes,,,,696501.4531828951,1197169.804049283
11868700626,106.8049941,10.8304162,Công ty Mekophar,bus_stop,platform,,,,yes,,,,697326.8864462775,1197812.7608485788
11868700627,106.8099421,10.8371934,Trường Đại học Nguyễn Tất Thành,bus_stop,platform,,,,yes,,,,697863.5305823401,1198565.6693501528
11868700628,106.812697,10.8401819,Saigon Hi-tech Park,bus_stop,platform,,,,yes,,,,698162.8237757467,1198898.051768874
11868700629,106.8143563,10.8491951,Ngã ba Mỹ Thạnh,bus_stop,platform,,,,yes,,,,698338.3316316942,1199896.183515126
11868700630,106.8164994,10.8464238,Trạm y tế Phường Long Thạnh Mỹ,bus_stop,platform,,,,yes,,,,698574.5101458599,1199591.0166306181
11868700631,106.8179835,10.84441,Trường Trung học phổ thông Nguyễn Huệ,bus_stop,platform,,,,yes,,,,698738.1290809164,1199369.2161076467
11868700632,106.8199362,10.8425593,Cao đẳng Cảnh sát Nhân dân 2,bus_stop,platform,,,,yes,,,,698952.8850715468,1199165.764676224
11868700633,106.8243738,10.8411497,UBND Phường Long Thạnh Mỹ,bus_stop,platform,,,,yes,,,,699439.0847898542,1199012.7362684181
11868700634,106.8330247,10.8374707,Tòa nhà S2.05,bus_stop,platform,,,,yes,,,,700387.5448465489,1198611.4379447536
11868700635,106.8409795,10.8432342,Phân khu Masteri,bus_stop,platform,,,,yes,,,,701253.594405824,1199254.2579971678
11868700637,106.8453742,10.8396491,Công viên Ánh Sáng,bus_stop,platform,,,,yes,,,,701736.5762511151,1198860.5728858353
11868700638,106.8439392,10.8398678,Vòng xoay Công viên Ánh Sáng,bus_stop,platform,,,,yes,,,,701579.5046603894,1198883.815647278
11868700639,106.8424918,10.8426087,TTTM Vincom,bus_stop,platform,,,,yes,,,,701419.3892016711,1199186.063804802
11868700640,106.845056,10.8468021,Đối diện tòa nhà BS11,bus_stop,platform,,,,yes,,,,701696.9840486313,1199651.6483007553
11868700641,106.8438575,10.8477863,Đối diện tòa nhà BS16,bus_stop,platform,,,,yes,,,,701565.265030726,1199759.7291686726
11868700642,106.8400432,10.845684,Đối diện tòa nhà S10.07,bus_stop,platform,,,,yes,,,,701149.5682862133,1199524.6425467588
11868700643,106.8395208,10.8474052,Đối diện tòa nhà S10.05,bus_stop,platform,,,,yes,,,,701091.2915265928,1199714.7010412295
11868700644,106.8387593,10.8467004,Tòa nhà S10.03,bus_stop,platform,,,,yes,,,,701008.4907581685,1199636.2309908874
11868700645,106.8365429,10.8453436,Tòa nhà S9.01,bus_stop,platform,,,,yes,,,,700767.0274619204,1199484.6750203636
11868700646,106.8359571,10.8433825,Đối diện tòa nhà S8.01,bus_stop,platform,,,,yes,,,,700704.2768564562,1199267.346874183
11868700647,106.831622,10.8376481,Tòa nhà S1.07,bus_stop,platform,,,,yes,,,,700234.0337977901,1198630.1396436463
11868700648,106.8395175,10.8370274,Tòa nhà Văn phòng,bus_stop,platform,,,,yes,,,,701097.8662498253,1198566.6790152662
11868700652,106.8432847,10.8370104,Đại lộ Ánh sáng,bus_stop,platform,,,,yes,,,,701509.8444776252,1198567.2886336874
11868700653,106.8445618,10.8374813,Công viên Thể chất Sáng tạo,bus_stop,platform,,,,yes,,,,701649.188103341,1198620.226317154
11868700654,106.8458425,10.8386286,Công viên Ánh Sáng,bus_stop,platform,,,,yes,,,,701788.471614649,1198747.9924431434
11868700658,106.8389421,10.8374881,Tòa nhà Văn phòng,bus_stop,platform,,,,yes,,,,701034.6350830519,1198617.2629413141
11868700659,106.7406138,10.8020001,Vincom Mega Mall Thảo Điền,bus_stop,platform,,,,yes,,,,690304.5177581203,1194628.5144673123
11868700660,106.7225902,10.795827,Vinhomes Central Park - Tòa nhà Landmark 81,bus_stop,platform,,,,yes,,,,688337.2531843965,1193934.5039478138
11868700661,106.7233192,10.7916164,Đối diện Tòa nhà Park 3 VInhomes Central Park,bus_stop,platform,,,,yes,,,,688419.6042978099,1193469.194193813
11868700662,106.7089584,10.7834393,Vinhomes Golden River - Khu phức hợp Ba Son,bus_stop,platform,,,,yes,,,,686854.0753012657,1192555.8734761782
11868700665,106.7090633,10.7835393,Vinhomes Golden River - Khu phúc hợp Ba Son,bus_stop,platform,,,,yes,,,,686865.486290032,1192566.9990196184
11869153634,106.8467318,10.9040026,Bến xe Ngã tư Vũng Tàu,bus_stop,platform,,,,yes,,,,701841.7437566126,1205980.4673792257
11870716292,106.849794,10.9039645,Ngã tư Vũng Tàu,bus_stop,platform,,,,yes,,,,702176.5665801706,1205978.296307266
11873794174,106.8467644,10.9050806,Bến xe Ngã tư Vũng Tàu,,station,bus_station,,,yes,,,,701844.5805924598,1206099.7412327218
11874238101,106.849837,10.9063873,Big C Đồng Nai,bus_stop,platform,,,,yes,,,,702179.6302424438,1206246.34404652
11898041250,106.8426804,10.8419018,Đối diện TTTM Vincom,bus_stop,platform,,,,yes,,,,701440.4866630227,1199107.9893267157
11898041251,106.8437277,10.8398975,Vòng xoay Công viên Ánh Sáng,bus_stop,platform,,,,yes,,,,701556.3561133605,1198886.961120777
11898041252,106.8431641,10.837075,Đại lộ Ánh sáng,bus_stop,platform,,,,yes,,,,701496.6128628906,1198574.355070727
11898041253,106.7068992,10.7764276,Bến Bạch Đằng,bus_stop,platform,,,,yes,,,,686633.1870572278,1191779.0189787922
11962967606,106.689974,10.7678577,,,station,bus_station,,,yes,,,,684787.2997565112,1190820.8059755901
12212047737,106.7663693,10.8392972,Tu viện Quảng Đức,bus_stop,platform,,,,yes,,,,693097.3570327881,1198770.4196333701
12212047744,106.66422,10.7972677,Nhà thờ Tân Xa Châu,bus_stop,platform,,,,yes,,,,681952.8428347819,1194058.5136348903
12212047745,106.7670136,10.7772674,Chợ Cây Xoài,bus_stop,platform,,,,yes,,,,693207.5074286229,1191909.1961487052
12212047748,106.72134,10.7523747,Trường Mầm non Tân Thuận Tây,bus_stop,platform,,,,yes,,,,688227.5279926066,1189127.2324996607
12212047751,106.7157936,10.8026872,Hẻm 36 Nguyễn Gia Tri,bus_stop,platform,,,,yes,,,,687589.6878280488,1194689.169122021
12212047752,106.715966,10.8047304,Đường Võ Oanh,bus_stop,platform,,,,yes,,,,687607.272627237,1194915.284539226
12212047753,106.713867,10.8064002,Đại học Ngoại thương - Cơ sở 2,bus_stop,platform,,,,yes,,,,687376.6878406585,1195098.7017325175
12212047754,106.6850186,10.7599004,Báo An ninh Thế giới,bus_stop,platform,,,,yes,,,,684250.1493747316,1189937.6374491323
12212047755,106.6926828,10.7648329,Rạp Trần Hưng Đạo,bus_stop,platform,,,,yes,,,,685085.4165185814,1190487.855218405
12216140078,106.7060535,10.7532191,Tôn Đản,bus_stop,platform,,,,yes,,,,686554.9741374303,1189211.3025485196
12216140079,106.7090071,10.7532515,Trường Đại học Nguyễn Tất Thành,bus_stop,platform,,,,yes,,,,686878.0165853563,1189216.6833783009
12216140080,106.7135143,10.7532724,Khu vui chơi thiếu nhi,bus_stop,platform,,,,yes,,,,687370.9984474474,1189221.743329316
12216140081,106.7152474,10.7533118,Nguyễn Thần Hiến,bus_stop,platform,,,,yes,,,,687560.5397855565,1189227.1601894468
12216140082,106.7166144,10.7535461,Nguyễn Thần Hiến,bus_stop,platform,,,,yes,,,,687709.9167928363,1189253.913088854
12216140083,106.7135757,10.7533675,Khu vui chơi thiếu nhi,bus_stop,platform,,,,yes,,,,687377.6556302942,1189232.30030495
12216140084,106.709307,10.7533118,Trường Đại học Nguyễn Tất Thành,bus_stop,platform,,,,yes,,,,686910.7822907988,1189223.5360782961
12216140085,106.7063085,10.7533095,Tôn Đản,bus_stop,platform,,,,yes,,,,686582.8102354517,1189221.4571256642
12216140086,106.7963688,10.8458454,Ký túc xá Đại học Sư phạm Kỹ thuật,bus_stop,platform,,,,yes,,,,696373.5897499938,1199513.9694274017
12216140087,106.6672618,10.9095555,Công ty Vĩnh Nam Anh,bus_stop,platform,,,,yes,,,,682217.4221616132,1206480.8399925195
12216140088,106.6612862,10.9079981,Sala,bus_stop,platform,,,,yes,,,,681565.114446139,1206304.9786596652
12237338975,106.8071752,10.7939209,Cao tốc Dầu Giây,bus_stop,platform,,,,yes,,,,697589.299209445,1193777.041837791
12237338976,106.7611983,10.8642067,UBND Phường Linh Trung,bus_stop,platform,,,,yes,,,,692515.9514654293,1201522.5910847655
12241385886,106.7697857,10.7699608,UBND Phường Thạnh Mỹ Lợi,bus_stop,platform,,,,yes,,,,693515.3708588027,1191102.7032706554
12241385887,106.767489,10.769255,Chợ Thạnh Mỹ Lợi,bus_stop,platform,,,,yes,,,,693264.6161206821,1191023.1795269218
12241385888,106.7558717,10.7757754,Chung cư Vista Verde,bus_stop,platform,,,,yes,,,,691989.8256254697,1191737.1471007161
12241385889,106.752966,10.7972424,Ban điều hành KP3,bus_stop,platform,,,,yes,,,,691658.4177178461,1194109.9507570504
12241385890,106.756391,10.808049,Ga Metro Rạch Chiếc,bus_stop,platform,,,,yes,,,,692026.1252703356,1195307.5015723873
12241385891,106.7554086,10.8092999,Ga Metro Rạch Chiếc,bus_stop,platform,,,,yes,,,,691917.8927998794,1195445.2556103198
12241385892,106.752375,10.7980708,Lexington Residence,bus_stop,platform,,,,yes,,,,691593.2573616036,1194201.2157307176
12241385893,106.7525294,10.7802244,Đường số 52 - BTT,bus_stop,platform,,,,yes,,,,691621.450437071,1192227.190327686
12241385894,106.7535314,10.7779604,Ban bồi thường GPMB Thành phố Thủ Đức,bus_stop,platform,,,,yes,,,,691732.4749944359,1191977.3799394695
12241385895,106.7669788,10.7696401,Chợ Thạnh Mỹ Lợi,bus_stop,platform,,,,yes,,,,693208.5665957626,1191065.4568228316
12241385899,106.7662114,10.8569434,Hoàng Diệu 2,bus_stop,platform,,,,yes,,,,693068.7619549792,1200722.3162303208
12241394109,106.7455391,10.8609204,Nhà thờ Tam Hà,bus_stop,platform,,,,yes,,,,690805.8400994737,1201149.1898601295
12241505431,106.8421464,10.8475561,Đối diện tòa nhà BS9,bus_stop,platform,,,,yes,,,,701378.3062429373,1199733.1306573376
12241505432,106.8412578,10.8455506,Đối diện tòa nhà BS8 và GH3,bus_stop,platform,,,,yes,,,,701282.4777685389,1199510.6886287695
12241505433,106.8403265,10.8436708,Phân khu Masteri,bus_stop,platform,,,,yes,,,,701181.8943346094,1199302.1241668696
12241505434,106.8418111,10.8362158,Đối diện bãi xe nổi P01,bus_stop,platform,,,,yes,,,,701349.2284384783,1198478.4131004962
12241505436,106.8457615,10.839435,Công viên 36 hecta Vinhome Grand Park,bus_stop,platform,,,,yes,,,,701779.0731850313,1198837.1451539327
12247628813,106.6762845,10.7825046,,,stop_position,,,,,yes,,,683281.1789842444,1192432.7262065103
12345973822,106.7754162,10.8887737,Siêu thị GO! Dĩ An,bus_stop,platform,,,,yes,,,,694054.6735981292,1204249.2199467465
12345973827,106.7629927,10.8920239,UBND Thành phố Dĩ An,bus_stop,platform,,,,yes,,,,692694.2803177689,1204600.8270203522
12345973828,106.7641508,10.8937349,Chi cục Thuế Thành phố Dĩ An,bus_stop,platform,,,,yes,,,,692819.7958797001,1204790.8322938872
12345973829,106.7677615,10.8969428,Công Viên Dĩ An,bus_stop,platform,,,,yes,,,,693212.4884139027,1205147.9869538525
12345973830,106.7701138,10.9084646,Ga Dĩ An,bus_stop,platform,,,,yes,,,,693462.216105181,1206424.0196391405
12345973831,106.7697497,10.9114901,Trường Tiểu học Dĩ An,bus_stop,platform,,,,yes,,,,693420.45327001,1206758.4650455748
12345973832,106.7682049,10.9196953,UBND P. Tân Đông Hiệp,bus_stop,platform,,,,yes,,,,693246.2620518564,1207665.1293946793
12345973846,106.768499,10.9184785,UBND P. Tân Đông Hiệp,bus_stop,platform,,,,yes,,,,693279.200873777,1207530.7160865285
12345973847,106.7695889,10.9116105,Trường Tiểu học Dĩ An,bus_stop,platform,,,,yes,,,,693402.7959140029,1206771.68077584
12345973848,106.7698383,10.9082619,Ga Dĩ An,bus_stop,platform,,,,yes,,,,693432.2278609022,1206401.4210076013
12345973849,106.7677386,10.8984291,Công Viên Dĩ An,bus_stop,platform,,,,yes,,,,693209.0254348931,1205312.38527475
12345973850,106.7640489,10.8938746,Chi cục Thuế Thành phố Dĩ An,bus_stop,platform,,,,yes,,,,692808.565080142,1204806.2208799021
12345973851,106.7627987,10.8919999,UBND Thành phố Dĩ An,bus_stop,platform,,,,yes,,,,692673.0853907543,1204598.048817724
12422921828,106.6964944,10.7710029,,bus_stop,platform,,,,yes,,,,685498.5310367299,1191172.6485211405
12435161715,106.7287739,10.7973649,Ga tàu thuỷ Bình An,bus_stop,platform,,,,yes,,,,689012.5702792245,1194108.4369384968
12435161718,106.7285652,10.8015991,Công viên bờ sông Sài Gòn - Thảo Điền,bus_stop,platform,,,,yes,,,,688987.097477995,1194576.6787579083
12435161719,106.726876,10.8041985,Căn hộ Hoàng Anh,bus_stop,platform,,,,yes,,,,688800.7370434416,1194863.169873183
12435161720,106.7250772,10.8108131,Khu biệt thự cao cấp Thảo Điền,bus_stop,platform,,,,yes,,,,688599.8850816196,1195593.7393004203
12435161721,106.7272161,10.8154284,Toà nhà River Garden,bus_stop,platform,,,,yes,,,,688830.9056343398,1196105.588227755
12435161722,106.7307157,10.8173991,Chung cư XI Riverview Palace,bus_stop,platform,,,,yes,,,,689212.3782084957,1196325.7476357648
12435161723,106.7325433,10.8130896,"BIS HCMC, Junior Campus",bus_stop,platform,,,,yes,,,,689414.9452119153,1195850.1799982535
12435161724,106.731961,10.8093576,Ban điều hành khu phố 4,bus_stop,platform,,,,yes,,,,689353.6069893903,1195436.9982813548
12435161725,106.7342038,10.807217,Làng báo chí,bus_stop,platform,,,,yes,,,,689600.2245651104,1195201.6043967856
12435161726,106.7420687,10.8019861,Ga An Phú,bus_stop,platform,,,,yes,,,,690463.6393601994,1194627.872415337
12435161727,106.7480658,10.8000113,The Estella,bus_stop,platform,,,,yes,,,,691120.7530540619,1194413.170474758
12435161728,106.7516045,10.7992416,Chung cư Lexington - Block C,bus_stop,platform,,,,yes,,,,691508.2492915415,1194330.243692549
12435161729,106.7770702,10.7896928,Trường Tiểu học Nguyễn Văn Trỗi,bus_stop,platform,,,,yes,,,,694299.4594290969,1193290.0412596483
12435161730,106.8000027,10.8045624,Liên Phường,bus_stop,platform,,,,yes,,,,696797.91318366,1194949.5797183646
12435161731,106.7768926,10.7897391,Chung cư Thủ Thiêm Xanh,bus_stop,platform,,,,yes,,,,694280.0056098439,1193295.050094834
12435161732,106.7518106,10.7994408,Lexington,bus_stop,platform,,,,yes,,,,691530.6631312062,1194352.4078422387
12435161733,106.7485636,10.8006927,The Estella,bus_stop,platform,,,,yes,,,,691174.7635072104,1194488.8564457428
12435161734,106.7342179,10.8073445,Làng báo chí,bus_stop,platform,,,,yes,,,,689601.6864880673,1195215.7167546619
12435161735,106.7325052,10.8090283,Nhà văn hoá Thảo Điền,bus_stop,platform,,,,yes,,,,689413.3274460497,1195400.9098415794
12435161736,106.7315731,10.8116138,"BIS HCMC, Junior Campus",bus_stop,platform,,,,yes,,,,689309.7710539959,1195686.330415448
12435161737,106.7316192,10.8174353,Chung cư XI Riverview Palace,bus_stop,platform,,,,yes,,,,689311.1597534781,1196330.312409379
12435161738,106.7278637,10.8161316,Trường Quốc tế Á Châu - Nguyen Van Huong Campus,bus_stop,platform,,,,yes,,,,688901.2853954805,1196183.7743523873
12435161739,106.7252553,10.8114723,Khu biệt thự cao cấp Thảo Điền,bus_stop,platform,,,,yes,,,,688618.9500010022,1195666.767423344
