metric,n_walk,n_other,blocks,walk_median,other_median,difference,ci_low,ci_high,valid_bootstraps
d_inclusive_2023,68,370,61,281.64554766050924,274.27512370566274,7.370423954846501,-71.82297107908023,152.88689612407111,1999
network_100,68,369,60,428.02533182871804,424.2722356808906,3.7530961478274207,-138.9014052836574,191.955717828333,1999
d_highway_2023,68,370,61,281.64554766050924,274.27512370566274,7.370423954846501,-82.2972611846407,152.34503747888948,1999
network_250,68,369,60,428.02533182871804,424.2722356808906,3.7530961478274207,-140.3491508831023,202.1494067152383,1999
network_highway,68,369,60,428.02533182871804,424.2722356808906,3.7530961478274207,-141.78971315710723,203.6341813923619,1999
d_inclusive_2026,68,370,61,133.68291688097332,141.10184368299056,-7.418926802017239,-49.66632418144449,33.24681367950027,1999
