cohort,n,walk_n,habit_n,H,p,median_distance
Verified 450,438,68,309,9.472728690042004,0.050310638425093056,276.82486878967757
Full clean 460,445,71,313,8.67136804221559,0.06985965831009475,283.55111071173803
Verified Truong Tho,245,35,179,12.175197842330135,0.016094908567037585,264.6897000679419
